split_point,accuracy
30,65.12968299711815
31,59.88071570576541
32,60.48192771084337
33,62.00819672131148
34,62.16110019646366
35,63.086714399363565
36,64.78296478296478
37,60.14234875444839
38,63.47305389221557
39,60.30253475061325
40,61.12
41,60.380412788344806
42,63.21603927986907
43,59.44755804643715
44,60.089141004862235
45,62.11001642036125
46,61.91429715658791
47,61.63215590742996
48,63.274517849815346
49,60.95808383233533
50,63.48246674727932
51,66.13562091503267
52,66.40127388535032
53,65.00809061488673
54,64.36213991769547
55,68.14903846153845
56,68.96411092985318
57,67.97494780793319
58,68.02419354838709
59,65.85167074164629
60,69.39029448361676
61,66.46586345381526
62,68.01319043693323
63,66.66666666666667
64,67.7645121449156
65,67.43407283382167
66,67.82534972445951
67,67.97867978679787
68,67.83772480133835
69,67.87674124102998
70,69.19934640522875
71,69.26298157453937
72,71.18786857624264
73,71.17598684210526
74,72.02158572021587
75,73.17480183562786
76,73.89690721649484
77,76.46817248459958
78,76.73653925195232
79,76.20408163265307
80,75.91752577319588
81,77.57125154894672
82,76.96697920913167
83,74.47767308480131
84,74.74205530334297
85,75.59183673469387
86,77.88778877887789
87,76.67771333885666
88,77.1123872026251
89,77.4020618556701
90,76.87837276878373
91,75.14427040395712
92,72.18762972187629
93,74.51802179379715
94,70.3228476821192
95,73.18087318087319
96,75.04180602006689
97,75.86633663366337
98,72.28915662650603
99,75.6802009208874
100,73.10087173100872
101,72.30320699708454
102,75.26205450733752
103,76.21621621621621
104,72.50206440957886
105,74.81044650379107
106,70.9823263460748
107,71.21212121212122
108,72.24780242779406
109,72.20630372492836
110,64.91362763915546
111,69.38344594594594
112,64.6517213771017
113,67.68781911013859
114,67.86145791381392
