split_point,accuracy
30,62.926829268292686
31,59.622411693057245
32,56.61407766990292
33,61.90187764990915
34,59.12938331318016
35,57.489387507580346
36,61.12795633717405
37,58.3941605839416
38,61.54313487241798
39,56.96125907990315
40,61.44067796610169
41,59.866828087167065
42,59.67252880533657
43,59.987856709168184
44,62.810417928528175
45,60.26650514839491
46,61.431170406306855
47,60.93276801938219
48,63.55932203389831
49,63.96614268440145
50,65.90084643288996
51,62.5986642380085
52,65.4126213592233
53,60.048573163327255
54,58.530661809350335
55,65.47330097087378
56,65.78947368421053
57,65.26576019777504
58,64.8583484026522
59,64.77341389728097
60,65.52357624004898
61,65.79108124618205
62,65.89919103920349
63,64.57286432160805
64,64.85642946317103
65,65.97873671044402
66,66.87617850408549
67,64.96259351620948
68,67.64522173641474
69,68.24408468244086
70,67.0617592014972
71,66.45885286783042
72,66.56288916562889
73,67.8727386150967
74,68.94218942189421
75,70.04297114794352
76,69.89512646514497
77,71.38480392156863
78,66.48418491484185
79,74.89335770871419
80,75.68891610532762
81,74.73942366646229
82,77.03115455100794
83,74.21922841396203
84,75.3048780487805
85,71.66361974405851
86,71.21951219512195
87,74.89283527250458
88,73.07221542227663
89,74.17177914110428
90,74.60024600246003
91,71.78856791641057
92,74.56896551724138
93,69.15484268969772
94,73.1030228254164
95,72.14329833230389
96,73.0911330049261
97,75.56783302639656
98,74.16974169741697
99,71.25231338679828
100,73.88613861386139
101,74.3368291178285
102,71.9059405940594
103,71.88854489164088
104,70.99378881987577
105,69.58410924891372
106,70.39350405996252
107,70.92950717404865
108,67.88819875776397
109,69.40809968847353
110,67.87048567870487
111,69.12039925140363
112,64.61059190031153
113,64.02248594628357
114,63.9736684619988
