split_point,accuracy
30,61.3317043372022
31,62.75946275946276
32,59.622411693057245
33,61.85006045949214
34,57.82766990291262
35,63.713592233009706
36,53.608247422680414
37,58.94929749541844
38,54.866180048661796
39,60.024227740763166
40,58.86998784933171
41,62.18181818181818
42,59.005457853244394
43,62.11293260473588
44,63.0526953361599
45,62.54545454545455
46,62.911084043848966
47,60.76409945421468
48,57.324455205811134
49,61.991499696417726
50,63.56447688564477
51,62.66666666666667
52,63.752276867030965
53,65.52984165651644
54,63.20927394752898
55,64.80243161094225
56,67.36068585425596
57,65.15809051456914
58,66.6868932038835
59,60.89318044659022
60,66.21621621621621
61,65.56372549019608
62,65.42288557213931
63,67.9245283018868
64,66.89569019362898
65,67.33542319749216
66,68.55345911949686
67,65.91619762351469
68,64.9002493765586
69,67.16604244694132
70,64.56643792888335
71,68.95690193628981
72,69.88778054862843
73,65.10903426791276
74,69.16408668730651
75,73.36621454993835
76,70.14833127317677
77,74.86204782342121
78,76.7314702308627
79,73.43558282208589
80,77.3561811505508
81,75.69060773480662
82,67.76960784313727
83,75.52147239263803
84,73.42700061087355
85,77.28380024360536
86,74.29620563035495
87,73.72621240024554
88,73.52216748768473
89,74.81572481572482
90,71.91149354640443
91,73.16471314003701
92,72.87925696594428
93,73.43653250773994
94,72.26006191950465
95,71.87886279357232
96,72.86773794808406
97,74.50738916256158
98,74.67652495378928
99,72.49690976514216
100,65.40607563546187
101,68.77323420074349
102,69.44099378881987
103,71.62329615861213
104,70.39800995024876
105,74.33021806853583
106,67.89968652037616
107,66.625
108,69.05354919053549
109,68.61768368617685
110,69.10112359550563
111,70.875
112,64.69120399251403
113,64.49592986850344
114,66.04790419161677
