split_point,accuracy
30,60.61381074168798
31,57.79411764705882
32,60.61204343534057
33,61.92135390741662
34,63.24404761904761
35,62.845651080945196
36,60.79228034535298
37,61.914158855451404
38,61.45169200588524
39,59.37654626422564
40,62.17303822937625
41,61.272545090180365
42,63.05119107957425
43,60.60009837678309
44,59.711155378486055
45,62.784935579781965
46,61.534603811434295
47,60.99148723084626
48,61.948249619482496
49,64.07862407862407
50,63.926258096661684
51,64.50815620365793
52,64.56140350877193
53,65.03496503496504
54,67.68292682926828
55,66.19929894842264
56,66.03206412825651
57,66.1144578313253
58,66.71763506625892
59,66.39676113360325
60,68.12564366632337
61,65.54495228528377
62,69.11764705882352
63,68.43198338525441
64,65.27415143603133
65,65.45454545454545
66,67.4869109947644
67,66.10343061955966
68,67.40133264992312
69,66.78813118167622
70,68.36628511966701
71,68.62033195020747
72,69.73958333333333
73,65.75835475578407
74,69.29779600205023
75,67.09379805228089
76,73.42226782965623
77,71.98364008179959
78,75.70188871873404
79,74.96198682209832
80,75.19025875190259
81,77.88510421962378
82,76.61742231278656
83,76.58163265306122
84,74.66734902763562
85,75.6811301715439
86,71.8274111675127
87,74.31192660550458
88,73.24449000512558
89,73.55202460276782
90,75.21895929933025
91,75.20449897750512
92,75.56352459016394
93,75.25773195876289
94,72.6478149100257
95,72.8305785123967
96,74.11825726141079
97,74.079754601227
98,70.02053388090349
99,70.0977869274318
100,70.0
101,71.5539494062984
102,72.47278382581648
103,71.63412127440904
104,73.05110996386163
105,70.86978898610397
106,72.76807980049875
107,70.40963855421687
108,70.96774193548387
109,63.90041493775933
110,63.363821138211385
111,66.73286991062561
112,67.12852365026278
113,67.81038374717834
114,69.00350525788683
